id;x1;x2;x3;x4;x5
546;2.181951427;3.207903706;4.959709824;1;65
505;2.853759392;3.136450493;4.411880732;0;27
94;3.079103804;3.292549939;3.409579627;0;42
573;2.659333801;4.084357019;3.689412141;0;53
104;2.880514972;3.254064862;3.340403158;0;36
25;3.947552291;3.049828194;3.093067255;0;46
360;3.208416048;3.266327052;4.14495876;0;39
352;2.633532257;3.235835334;4.536840224;0;57
12;3.148522434;2.849574986;3.465796894;0;56
13;3.458432551;2.574003938;4.082823683;0;25
470;3.112091343;3.742149856;3.648155624;0;61
279;2.575863867;3.583354199;4.127538509;0;35
70;2.661568246;3.920022157;2.512088206;0;18
131;3.0254235;3.459418437;3.242626642;0;36
287;2.404695653;4.025131631;3.972055529;0;15
290;2.741344899;3.787609884;4.362371897;0;62
581;2.851934874;4.403351667;3.606286376;0;25
427;2.94964387;3.612694831;4.315923533;0;47
663;2.325045035;4.121072351;4.485860217;0;40
229;2.308065628;4.25482391;3.680436994;0;56
195;3.664237033;3.652820743;2.530883745;1;18
797;2.468905192;4.273231099;4.540846739;0;28
408;2.793297031;4.63020369;3.51114109;0;52
405;2.634027567;3.654934208;3.878565867;0;57
460;2.181827189;5.358451369;2.928018028;0;56
747;2.020743147;3.318261205;6.189191766;0;16
489;2.405514765;4.5907672;3.431443642;0;55
461;2.31797855;3.512330347;4.552270187;0;42
676;2.330046148;3.755881437;5.623249789;0;54
631;2.470873668;5.054851645;4.00395062;0;62
348;2.32017051;2.936734204;4.832257604;0;48
121;2.543878569;3.476327435;2.800462609;0;24
332;2.285627692;4.036953239;3.732270331;0;25
454;2.697113648;3.60285471;4.178211579;1;21
439;2.699980065;3.729604977;3.875863257;0;39
413;2.969046011;3.507253858;4.208234253;1;16
765;2.073979602;5.251638599;3.533304305;0;17
255;2.434702249;3.919663835;3.513779599;0;59
116;2.848666454;2.898776254;2.991980508;0;25
330;2.40709796;3.874547819;3.823368468;0;21
130;3.72364685;2.829443942;3.542447859;0;33
726;1.869921692;5.73884432;3.476315824;0;32
178;2.978579628;3.768959633;2.910710074;0;44
138;2.630469803;2.841466424;3.830639187;0;24
309;2.45381339;4.69629337;3.17425365;0;21
4;3.171913726;2.799209952;3.544954318;0;50
595;2.545300624;4.110702757;3.866589303;0;18
167;3.081791944;3.20054049;2.990752413;1;21
487;3.024245946;3.836332288;3.735611355;0;57
539;3.215941477;3.929350766;3.780543754;0;63
479;2.37490501;3.596657429;4.083727683;0;62
476;2.588601131;3.93887611;3.573485311;0;58
504;2.303299557;3.953564644;3.706348257;0;34
375;2.431225217;4.091498458;3.424718488;0;65
46;3.931548933;3.119771991;2.788024126;1;44
327;2.040081181;4.213052071;3.563979151;0;55
692;2.115308391;3.940825425;4.769704773;0;65
608;2.347720526;4.769828331;4.107544398;0;16
118;3.299267196;2.953313871;3.319511306;0;16
28;3.407493901;2.928605782;3.390020933;1;38
478;2.324599354;3.885887213;3.599931799;0;55
293;2.604429995;4.424406521;3.342154138;1;37
164;3.12774908;2.471983935;4.425738156;0;42
674;2.158122465;5.535964454;3.599679128;0;53
62;3.160620634;2.472408991;4.41474381;1;47
622;2.114715437;4.89250153;4.062732905;1;41
139;2.935255785;2.466552488;3.338145418;0;29
588;2.628917466;3.861005097;4.191213347;0;41
