id;y
546;r
505;r
94;b
573;r
104;b
25;b
360;r
352;r
12;b
13;b
470;r
279;r
70;b
131;b
287;r
290;r
581;r
427;r
663;b
229;r
195;b
797;b
408;r
405;r
460;r
747;b
489;r
461;r
676;b
631;b
348;r
121;b
332;r
454;r
439;r
413;r
765;b
255;r
116;b
330;r
130;b
726;b
178;b
138;b
309;r
4;b
595;r
167;b
487;r
539;r
479;r
476;r
504;r
375;r
46;b
327;r
692;b
608;b
118;b
28;b
478;r
293;r
164;b
674;b
62;b
622;b
139;b
588;r
259;r
172;b
464;r
502;r
171;b
770;b
53;b
429;r
266;r
101;b
665;b
31;b
392;r
323;r
759;b
399;r
339;r
475;r
422;r
90;b
225;r
731;b
242;r
369;r
102;b
455;r
480;r
540;r
295;r
499;r
221;r
40;b
75;b
114;b
520;r
97;b
421;r
281;r
707;b
445;r
529;r
416;r
306;r
793;b
423;r
754;b
528;r
74;b
10;b
307;r
272;r
579;r
753;b
736;b
265;r
752;b
157;b
774;b
240;r
560;r
312;r
32;b
256;r
712;b
209;r
26;b
367;r
16;b
623;b
8;b
585;r
799;b
556;r
213;r
449;r
456;r
23;b
217;r
605;b
775;b
345;r
302;r
373;r
78;b
744;b
364;r
269;r
150;b
187;b
495;r
250;r
384;r
761;b
282;r
462;r
477;r
268;r
20;b
488;r
402;r
527;r
658;b
617;b
280;r
727;b
409;r
762;b
721;b
338;r
513;r
406;r
531;r
115;b
649;b
643;b
394;r
510;r
36;b
73;b
648;b
615;b
379;r
277;r
204;r
526;r
331;r
192;b
239;r
582;r
790;b
766;b
493;r
0;b
401;r
223;r
390;r
655;b
491;r
440;r
261;r
80;b
415;r
509;r
174;b
466;r
769;b
334;r
642;b
611;b
291;r
618;b
772;b
227;r
77;b
689;b
191;b
177;b
113;b
749;b
267;r
701;b
344;r
251;r
262;r
89;b
351;r
485;r
672;b
532;r
764;b
350;r
411;r
598;r
37;b
14;b
780;b
188;b
708;b
498;r
86;b
136;b
629;b
336;r
468;r
111;b
140;b
572;r
777;b
355;r
469;r
671;b
232;r
359;r
717;b
393;r
697;b
779;b
545;r
555;r
635;b
17;b
3;b
601;b
463;r
69;b
370;r
713;b
597;r
226;r
361;r
637;b
342;r
534;r
426;r
320;r
625;b
412;r
366;r
88;b
181;b
472;r
71;b
745;b
224;r
557;r
704;b
173;b
616;b
143;b
96;b
659;b
589;r
723;b
767;b
83;b
362;r
442;r
458;r
194;b
271;r
693;b
783;b
197;b
688;b
353;r
199;b
389;r
638;b
380;r
666;b
243;r
782;b
316;r
722;b
596;r
654;b
61;b
687;b
621;b
214;r
453;r
640;b
673;b
207;r
185;b
65;b
289;r
137;b
238;r
91;b
87;b
732;b
760;b
785;b
435;r
66;b
152;b
349;r
151;b
452;r
383;r
263;r
660;b
669;b
778;b
162;b
123;b
645;b
234;r
346;r
310;r
544;r
653;b
230;r
657;b
436;r
381;r
576;r
651;b
175;b
547;r
446;r
593;r
105;b
81;b
146;b
444;r
776;b
773;b
457;r
163;b
417;r
283;r
205;r
492;r
218;r
183;b
6;b
298;r
746;b
9;b
668;b
314;r
108;b
521;r
519;r
606;b
516;r
682;b
388;r
27;b
738;b
270;r
758;b
407;r
634;b
84;b
425;r
587;r
196;b
120;b
30;b
636;b
193;b
202;r
254;r
698;b
15;b
700;b
134;b
34;b
620;b
684;b
632;b
613;b
64;b
448;r
95;b
303;r
494;r
329;r
434;r
56;b
564;r
677;b
652;b
132;b
79;b
724;b
169;b
126;b
599;r
300;r
497;r
562;r
503;r
537;r
109;b
317;r
791;b
675;b
125;b
372;r
538;r
168;b
67;b
288;r
160;b
403;r
728;b
404;r
387;r
748;b
237;r
247;r
249;r
122;b
325;r
507;r
563;r
155;b
354;r
156;b
715;b
186;b
628;b
165;b
60;b
518;r
44;b
443;r
683;b
397;r
311;r
768;b
278;r
592;r
567;r
450;r
786;b
141;b
506;r
294;r
542;r
211;r
275;r
702;b
33;b
149;b
535;r
63;b
127;b
482;r
106;b
591;r
661;b
685;b
24;b
244;r
252;r
100;b
788;b
154;b
72;b
216;r
796;b
484;r
569;r
170;b
51;b
691;b
586;r
117;b
559;r
549;r
730;b
716;b
38;b
781;b
385;r
29;b
474;r
610;b
424;r
189;b
208;r
274;r
603;b
324;r
133;b
41;b
68;b
604;b
680;b
578;r
533;r
515;r
496;r
340;r
584;r
19;b
695;b
5;b
570;r
714;b
76;b
356;r
142;b
299;r
245;r
371;r
376;r
438;r
742;b
612;b
594;r
647;b
627;b
148;b
501;r
414;r
50;b
577;r
699;b
667;b
720;b
490;r
59;b
514;r
308;r
483;r
662;b
357;r
315;r
219;r
686;b
39;b
755;b
410;r
694;b
792;b
459;r
646;b
696;b
103;b
292;r
391;r
711;b
358;r
552;r
706;b
145;b
548;r
709;b
590;r
553;r
112;b
566;r
543;r
43;b
467;r
626;b
326;r
650;b
220;r
129;b
396;r
568;r
190;b
166;b
47;b
276;r
328;r
575;r
607;b
110;b
789;b
794;b
511;r
574;r
49;b
180;b
523;r
530;r
258;r
418;r
318;r
22;b
286;r
365;r
558;r
517;r
